_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,geometry
74,74,2022,San Lorenzo Latin American Community Centre,El Jardin San Lorenzo,Spiritual Centre Garden,3,45.0,31,EN,San Lorenzo Latin American Community Centre,22 Wenderly Drive,M6B 2N9,N,Eglinton-Lawrence,8,MULTIPOINT (-79.45305743 43.71104895)
75,75,2022,Annette Street Primary School & High Park Alternative School,Gardens,School Learning Garden,3,204.3,88,None,Annette Street Primary School ,265 Annette Street,M6P 1R3,N,Parkdale-High Park,4,MULTIPOINT (-79.47283127 43.66142319)
76,76,2022,Friends of Smythe Park,Healthy Park Healthy People,City Park,2,74.3,111,NIA,Smythe Park,101 Black Creek Boulevard,M6N 2K6,N,York South-Weston,5,MULTIPOINT (-79.50258451 43.67452915)
77,77,2022,Friends of Henrietta Park,Henrietta Park Pollinator Garden,City Park,1,124.8,111,NIA,Henrietta Park,41 Brittannia Avenue,M6N 1S4,N,York South-Weston,5,MULTIPOINT (-79.48088538 43.67114774)
78,78,2022,Huron-Sussex Community Garden,Huron-Sussex Pollinator Garden,Communal Garden,1,11.1,79,None,Huron-Sussex Community Garden,360 Huron Street,M5S 2G3,N,University-Rosedale,11,MULTIPOINT (-79.40063321 43.6640989)
79,79,2022,Pierre Elliott Trudeau Elementary School Community,Jardin de Pollen,School Learning Garden,3,43.2,81,None,Pierre Elliott Trudeau Elementary School,65 Grace Street,M6J 2S4,N,University-Rosedale,11,MULTIPOINT (-79.41409749 43.65199103)
80,80,2022,Jardin Des Marveilles,Jardin des merveilles,School Learning Garden,5,65.1,43,NIA,Jeanne-Lajoie Elementary School,150 Carnforth Road,M4A 2H6,N,Don Valley East,16,MULTIPOINT (-79.32149457 43.73449677)
81,81,2022,Jonesville Allotments Pollinator Group,Jonesville Allotments Pollinator Project,City Park,1,46.4,43,NIA,Jonesville Allotments,50 Jonesville Crescent,M4A 1A2,N,Don Valley East,16,MULTIPOINT (-79.30635422 43.72580602)
82,82,2022,Roden School Council,Kindie Heart Garden,School Learning Garden,1,25.5,65,None,Roden Public School,151 Hiawatha Road,M4L 2Y1,N,Toronto-Danforth,14,MULTIPOINT (-79.32307648 43.67387327)
83,83,2022,Parkdale Junior and Senior Public School Garden Committee,Parkdale Junior and Senior Public School Indigenous Medicine/Pollinator Garden,School Learning Garden,1,4.6,86,None,Parkdale Junior and Senior Public School,78 Seaforth Avenue,M6K 3L2,N,Parkdale-High Park,4,MULTIPOINT (-79.43679858 43.64318729)
84,84,2022,Bloor Annex BIA,Pollinate the Annex,Multiple Boulevard Gardens,4,185.8,79,None,Public Pollinator Pathway,425 Bloor Street West,M5S 1X6,N,University-Rosedale,11,MULTIPOINT (-79.40491735 43.6662113)
85,85,2022,Manor Road United Church,Pollinator Garden @ the Manor,Spiritual Centre Garden,1,25.6,99,None,Manor Road United Church,240 Manor Road East,M4S 1R8,N,Don Valley West,15,MULTIPOINT (-79.3855787 43.70535451)
86,86,2022,The PACT Urban Peace Program,Pollinator Garden @ Thistletown CI,School Learning Garden,1,46.4,4,None,Thistletown Collegiate Institute,20 Fordwich Crescent,M9W 2T4,N,Etobicoke North,1,MULTIPOINT (-79.56245594 43.72773515)
87,87,2022,Toronto Botanical Garden,Pollinator Garden at Toronto Botanical Garden,City Park,1,269.4,42,None,Toronto Botanical Garden,777 Lawrence Avenue East,M3C 1P2,N,Don Valley West,15,MULTIPOINT (-79.35866702 43.73434615)
88,88,2022,Pollinator Pedestrian Access Path - Pilkington to Santa Monica,Pollinator Pedestrian Access Garden Pilkington to Santamonica,Multiple Front Yard Gardens,6,303.21,120,None,Private Residential Property,73 Newlands Avenue,"M1L 4H5
",N,Scarborough Southwest,20,MULTIPOINT (-79.27424317 43.70861698)
89,89,2022,Withrow Junior Public School,Pollinators at Withrow School,School Learning Garden,2,278.7,68,None,Withrow Junior Public School,25 Bain Avenue,M4K 1E5,N,Toronto-Danforth,14,MULTIPOINT (-79.35212966 43.67046046)
90,90,2022,Hillside Outdoor Education School,Pollinators' Paradise,School Learning Garden,5,8.3,144,None,Hillside Outdoor Education School,2259 Meadowvale Road,M1X 1R2,N,Scarborough-Rouge Park,25,MULTIPOINT (-79.17903679 43.82766898)
91,91,2022,Portage Trail Community School Garden Project,Portage Trail Garden,School Learning Garden,1,5.5,115,NIA,Portage Trail Community School,100 Sidney Belsey Crescent,M6M 5H6,N,York South-Weston,5,MULTIPOINT (-79.50976689 43.69229619)
92,92,2022,Feed Scarborough,Scarborough Junction Pollinator Garden,Communal Garden,1,59.4,120,None,Feed Scarborough Office,3595 St Clair Avenue East,M1K 1L8,N,Scarborough Southwest,20,MULTIPOINT (-79.25681349 43.71654978)
93,93,2022,Art City in St. James Town,SEED (Student Environment Education Demonstration) Garden,Communal Garden,1,13.9,74,None,Art City St. James Town,545 Sherbourne Street,M4X 1W5,N,Toronto Centre,13,MULTIPOINT (-79.37482997 43.66855823)
94,94,2022,St. Boniface Elementary School,St. Boniface Elementary School Pollinator Garden,School Learning Garden,1,59.4,139,NIA,St. Boniface Elementary School,20 Markanna Drive,M1M 2J1,N,Scarborough Southwest,20,MULTIPOINT (-79.21981765 43.7405509)
95,95,2022,St. Aidan Catholic Elementary School,Stardust Pollinator Project,School Learning Garden,2,4.6,148,EN,St. Aidan Catholic Elementary School,3521 Finch Avenue East,M1W 2S2,N,Scarborough-Agincourt,22,MULTIPOINT (-79.30925078 43.79752355)
96,96,2022,Community History Project,The Community History Project,City Park,1,7.4,94,None,The Tollkeepers Park,750 Davenport Road,M6G 2B3,N,Toronto-St. Paul's,12,MULTIPOINT (-79.41699574 43.67698408)
97,97,2022,The Junction Business Improvement Area (BIA),The Junction Butterfly Gardens,Boulevard Garden,22,18.3,90,None,BIA Pollinator Pathway,2859 Dundas Street West,M6P 1Y9,N,Parkdale-High Park,4,MULTIPOINT (-79.46484383 43.66515134)
98,98,2022,St. Francis De Sales,The Learning Garden,School Learning Garden,1,37.1,25,NIA,St. Francis de Sales Catholic School,33 Firgrove Crescent,M3N 1K9,N,Humber River-Black Creek,7,MULTIPOINT (-79.51777638 43.75001397)
99,99,2022,The AppleTree Group,The Outdoor Classroom Project,City Park,1,18.5,174,None,June Rowlands Park,220 Davisville Avenue,M4S 2K4,N,Toronto-St. Paul's,12,MULTIPOINT (-79.3882165 43.70028308)
100,100,2022,The St. Clair Diggers,The St. Clair Pollinator Patch,Spiritual Centre Garden,4,49.1,120,None,St. Clair Missionary Church,3113 St Clair Avenue East,M1L 1T9,N,Scarborough Southwest,20,MULTIPOINT (-79.29356548 43.70903048)
101,101,2022,Bruce Green Committee (BGC),The Valerie Mah Pollination Station,School Learning Garden,2,22.2,70,None,Bruce Public School,51 Larchmount Avenue,M4M 2Y6,N,Toronto-Danforth,14,MULTIPOINT (-79.33333606 43.66103581)
102,102,2022,Thorncliffe Park Urban Farmers (TPUF),Thorncliffe Park Pollinator Garden,Communal Garden,4,576.0,55,NIA,Thorncliffe Park,53 Thorncliffe Park Drive,M4H 1L1,N,Don Valley West,15,MULTIPOINT (-79.34146258 43.70299061)
103,103,2022,SKETCH Working Arts,Weave and Mend Pollinator Garden,Communal Garden,1,18.5,81,None,SKETCH Working Arts,180 Shaw Street,M6J 2W5,N,Spadina-Fort York,10,MULTIPOINT (-79.41747167 43.64689328)
104,104,2022,West Bend Green Community,West Bend Butterfly Way,Boulevard Garden,4,640.0,88,None,Private Residential Property,31 Indian Road Crescent,M6P 2J8,N,Parkdale-High Park,4,MULTIPOINT (-79.45800342 43.65711626)
105,105,2022,Dixon Hall,Dixon Hall Peace Gardens,Communal Garden,4,33.8,72,NIA,Dixon Hall,51 Wyatt Avenue,M5A 1Y7,N,Toronto Centre,13,MULTIPOINT (-79.35883562 43.66024047)
106,106,2023,188th Toronto Girl Guide Unit,Guides for Pollinators,Spiritual Centre Garden,1,10.0,63,None,The Beaches Presbyterian Church,65 Glen Manor Drive,M4E 3V3,N,Beaches-East York,19,MULTIPOINT (-79.29214486 43.67111425)
107,107,2023,Canary Park Gardening Volunteers,Bayview-Harris Plot,Multi-Residential Garden,1,23.0,166,None,Canary Park Condominium,120 Bayview Avenue,M5A 0G4,N,Toronto Centre,13,MULTIPOINT (-79.35447161 43.65393888)
108,108,2023,Children's Environmental Education Committee,Pollinator Ambassadors: Pollinator Education at Sprucecourt Co-op and Beyond,Multi-Residential Garden,3,86.0,71,None,Spruce Court Co-op,86 Spruce Street,M5A 2J1,N,Toronto Centre,13,MULTIPOINT (-79.36253809 43.66445951)
109,109,2023,Dufferin Grove Park Garden Co-operative,Dufferin Grove Pollinator Gardens Project,City Park,1,23.0,83,None,Dufferin Grove Park,875 Dufferin Street,M6H 3K8,N,Davenport,9,MULTIPOINT (-79.43360091 43.65704246)
110,110,2023,East York Children's Community Garden,Pollinator Patch,Communal Garden,1,51.0,58,None,East York Community Recreation Centre,1081 1/2 Pape Avenue,M4K 3W6,N,Toronto-Danforth,14,MULTIPOINT (-79.34927045 43.69178398)
111,111,2023,EcoClub and Autism Intensive Support Program,GreenSpace,School Learning Garden,2,30.0,24,NIA,Brookview Middle School,4505 Jane Street,M3N 2K7,N,Humber River-Black Creek,7,MULTIPOINT (-79.51724666 43.76745723)
112,112,2023,Ãcole ÃlÃ©mentaire Paul-Demers,Oasis de petites bestioles,School Learning Garden,1,35.0,48,None,Ãcole Ã©lÃ©mentaire Paul-Demers,100 Ravel Road,M2H 1S9,N,Don Valley North,17,MULTIPOINT (-79.36734038 43.79195183)
113,113,2023,Environmental Justice Committee,Pollinator Garden,School Learning Garden,2,9.29,147,EN,Beverly Glen Junior Public School,85 Beverly Glen Boulevard,M1W 1W4,N,Scarborough-Agincourt,22,MULTIPOINT (-79.32307086 43.79866171)
114,114,2023,Evergreen,"Bird, Bee and Butterfly Garden",School Learning Garden,1,131.0,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 1Y3,N,University-Rosedale,11,MULTIPOINT (-79.36477706 43.68462229)
115,115,2023,Faywood ABC School Eco-Club,Garden for Pollinators,School Learning Garden,2,6.0,33,None,Faywood Arts-Based Curriculum School,95 Faywood Boulevard,M3H 2X5,N,York Centre,6,MULTIPOINT (-79.44669733 43.73985503)
116,116,2023,Frankland Community School,Frankland Greening,School Learning Garden,4,130.0,68,None,Frankland Community School,816 Logan Avenue,M4K 3E1,N,Toronto-Danforth,14,MULTIPOINT (-79.34968008 43.67715067)
117,117,2023,Friends of Morningside High Park,MHP Pollinator Gardens,Spiritual Centre Garden,3,242.0,87,None,Morningside-High Park Presbyterian Church,4 Morningside Avenue,M6S 1C2,N,Parkdale-High Park,4,MULTIPOINT (-79.47303306 43.64634907)
118,118,2023,Garden @ Kimbourne Community Permaculture Project,Pollinator Education Gardens,Spiritual Centre Garden,2,58.0,66,None,Kimbourne Park United Church,200 Wolverleigh Boulevard,M4C 1S2,N,Beaches-East York,19,MULTIPOINT (-79.32251593 43.68569159)
119,119,2023,Guildwood Butterflyway Project,Guildwood Blooming Boulevards 2023,Multiple Front Yard Gardens,5,139.0,140,None,Private Residential Property,19 Forsythia Drive,M1E 1X9,N,Scarborough-Guildwood,24,MULTIPOINT (-79.18756771 43.75138505)
120,120,2023,Howard School Community,Howard Learning Garden,School Learning Garden,1,10.0,87,None,Howard Junior Public School,30 Marmaduke Street,M6R 1T2,N,Parkdale-High Park,4,MULTIPOINT (-79.45227209 43.65042631)
121,121,2023,Labour Education Centre,Labour Education Centre Pollinator Garden,Communal Garden,1,10.0,21,NIA,Labour Education Centre,25 Klondike Drive,M9L 1P8,N,Humber River-Black Creek,7,MULTIPOINT (-79.55129197 43.76763916)
122,122,2023,Lakeshore Environmental Gardening Society (LEGS),North Pollinator Garden @ The Daily Bread Food Bank,Communal Garden,1,175.0,18,None,Daily Bread Food Bank,191 New Toronto Street,M8V 2E7,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.50409959 43.60644115)
123,123,2023,Local Enhancement and Appreciation of Forests (LEAF),Urban Forest Demonstration Gardens,Multiple Property Garden,5,538.0,94,None,Bathurst Subway Station,655 Markham Street,M6G 2M1,N,University-Rosedale,11,MULTIPOINT (-79.41233453 43.66549393)
124,124,2023,Nairn Pollinators,261 Nairn Pollinator Garden,City Park,1,14.0,92,None,Nairn Park,261 Nairn Avenue,M6E 4H5,N,Davenport,9,MULTIPOINT (-79.45135724 43.68411416)
125,125,2023,Newmarket Ave Pollinator Pathway,Newmarket Ave Pollinator Pathway,Multiple Front Yard Gardens,8,76.6,62,None,Private Residential Property,99 Newmarket Avenue,M4C 1W1,N,Beaches-East York,19,MULTIPOINT (-79.30489129 43.68965794)
126,126,2023,Nimahkikiike (We Make Medicine),QA Mashkiki Gitigan (QA Medicine Garden),School Learning Garden,1,50.0,70,None,Queen Alexandra Middle School,181 Broadview Avenue,M4M 2G3,N,Toronto-Danforth,14,MULTIPOINT (-79.35009113 43.66164295)
127,127,2023,Norway Junior Public School,Norway Pollinator Protectors,School Learning Garden,6,12.7,62,None,Norway Junior Public School,390 Kingston Road,M4L 1T9,N,Beaches-East York,19,MULTIPOINT (-79.30621983 43.67637291)
128,128,2023,Ossington Old Orchard Parent Council,OOOPS Pollinator Garden,School Learning Garden,5,70.0,81,None,Ossington/Old Orchard Junior Public School,380 Ossington Avenue,M6G 3T7,N,Davenport,9,MULTIPOINT (-79.42259976 43.65270766)
129,129,2023,Our Lady of Peace Elementary School,Peace Garden,School Learning Garden,3,28.0,158,None,Our Lady of Peace Catholic Elementary School,70 Mattice Avenue,M9B 1T6,N,Etobicoke Centre,2,MULTIPOINT (-79.54108144 43.64652082)
130,130,2023,Our Lady Of Sorrows School,Our Lady Of Sorrows School Pollinator Garden,School Learning Garden,1,78.0,15,None,Our Lady of Sorrows Catholic School,32 Montgomery Road,M8X 1Z4,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.51896704 43.64821936)
131,131,2023,RC3 Garden Group,The Pollinator,Multiple Property Garden,7,250.0,166,None,River City 3 Condominium,170 Bayview Avenue,M5A 0M4,N,Toronto Centre,13,MULTIPOINT (-79.35375024 43.65530503)
132,132,2023,Rewilders,1K Pollinator Pathway,Multiple Boulevard Gardens,6,96.0,80,None,Public Pollinator Pathway,692 Bloor Street West,M6G 1J7,N,University-Rosedale,11,MULTIPOINT (-79.41743325 43.66397724)
133,133,2023,Runny(bee)de CI Garden Group,Pollinator Plaza,School Learning Garden,3,27.0,89,None,Runnymede Collegiate Institute,569 Jane Street,M6S 4A3,N,Parkdale-High Park,4,MULTIPOINT (-79.48981466 43.66354085)
134,134,2023,Secord Garden Committee,Secord Pollinator Garden,School Learning Garden,2,35.0,61,NIA,Secord Elementary School,101 Barrington Avenue,M4C 4Y9,N,Beaches-East York,19,MULTIPOINT (-79.30183125 43.69237889)
135,135,2023,South Parkdale Community Pollinator Gardeners,South Parkdale Community Pollinator Gardens,Multiple Front Yard Gardens,9,10.0,85,NIA,Private Residential Property,35 Springhurst Avenue,M6K 1B1 ,N,Parkdale-High Park,4,MULTIPOINT (-79.42783167 43.63427089)
136,136,2023,St. Basil-the-Great College School,St. Basil's Pollinator Garden,School Learning Garden,2,26.0,23,None,St. Basil-the-Great College School,20 Starview Lane,M9M 3B2,N,Humber River-Black Creek,7,MULTIPOINT (-79.53332748 43.72770719)
137,137,2023,St. John's Gardening Group,St. Johnâs Pollinator Garden,Spiritual Centre Garden,1,700.0,50,None,St. John's Anglican Church Willowdale,1087 Lillian Street,M2M 3G1,N,Willowdale,18,MULTIPOINT (-79.4103937 43.79845637)
138,138,2023,The 266th Toronto Guides,The Bee-utify Coxwell Garden Project,Boulevard Garden,3,136.0,58,None,"
East York Collegiate Institute",650 Cosburn Avenue ,M4C 3G3,N,Beaches-East York,19,MULTIPOINT (-79.32823558 43.6954282)
139,139,2023,The Elms JMS Community Initiatives Group,Pollinate the Elms!,School Learning Garden,1,10.0,5,NIA,The Elms Junior Middle School,45 Golfdown Drive,M9W 2H8,N,Etobicoke North,1,MULTIPOINT (-79.55211379 43.7222273)
140,140,2023,The Lewis Lions,Pollinate With Pride! (our school motto is 'Participate with pride!'),School Learning Garden,3,31.0,116,EN,David Lewis Public School,130 Fundy Bay Boulevard,M1W 3G1,N,Scarborough-Agincourt,22,MULTIPOINT (-79.31788929 43.80920532)
141,141,2023,The Stop Community Food Centre,Pollinator Garden For Our Community,Communal Garden,1,65.0,94,None,The Stop Community Food Centre,601 Christie Street,M6G 2X7,N,Toronto-St. Paul's,12,MULTIPOINT (-79.42409492 43.67995884)
142,142,2023,The Theatre Centre,The Theatre Centre Gardens,Boulevard Garden,2,22.0,84,None,The Theatre Centre,1115 Queen Street West,M6J 1J1,N,Davenport,9,MULTIPOINT (-79.42328231 43.64309922)
143,143,2023,The Westway Butterfly Brigade,Westway Junior School Pollinator Garden,School Learning Garden,2,46.5,6,NIA,Westway Junior School,25 Poynter Drive,M9R 1K8,N,Etobicoke Centre,2,MULTIPOINT (-79.54899331 43.69082212)
144,144,2023,Trinity Food Systems Lab (TFS Lab),"Pollinator, Native Plant, Urban Ag Initiative",School Learning Garden,1,70.0,79,None,Trinity College - University of Toronto, 44 Devonshire Place,M5S 2E2,N,University-Rosedale,11,MULTIPOINT (-79.3978929 43.66584192)
145,145,2023,Warren Park JPS Parents and Teachers,Warren Park Pollinator Garden,School Learning Garden,3,37.0,114,None,Warren Park Junior Public School,135 Varsity Road,M6S 4P4,N,Parkdale-High Park,4,MULTIPOINT (-79.49944079 43.66285134)
146,146,2023,West Hill DD Program,Pollinator Gardens,School Learning Garden,1,11.0,136,NIA,West Hill Collegiate Institute,350 Morningside Avenue,M1E 3G3,N,Scarborough-Guildwood,24,MULTIPOINT (-79.19058756 43.77566842)
147,147,2023,Westmount JS Pollinator Club,Westmount Pollinator Garden,School Learning Garden,1,10.0,8,EN,Westmount Junior School,95 Chapman Road,M9P 1E9,Y,Etobicoke Centre,2,MULTIPOINT (-79.5196593 43.68909613)
148,148,2023,William Burgess Public School,William Burgess School Garden,School Learning Garden,1,11.0,58,None,William Burgess Public School,100 Torrens Avenue,M4J 2P5,N,Toronto-Danforth,14,MULTIPOINT (-79.34815773 43.69192773)
149,149,2023,William Lyon Mackenzie C.I. Gardening Club,Lyons Pollinator Gardens,School Learning Garden,1,2023.0,34,None,William Lyon Mackenzie Collegiate Institute,20 Tillplain Road,M3H 5R2,N,York Centre,6,MULTIPOINT (-79.46189416 43.75347096)
